leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Deacon Brodies Tavern -> Edinburgh Castle","8","Gladstone's Land","museum","477B Lawnmarket, Edinburgh EH1 2NT","","","","From the narrow Lawnmarket pavement, Gladstone's Land rises six full storeys above you, its ground-floor arcade recreating the timber shopfronts that once lined the whole Royal Mile before Victorian street-widening swept the rest away. The building beside you began around 1550, but it was the merchant Thomas Gledstanes and his wife Bessie Cunningham who rebuilt it from 1617, raising it to its present height and finishing by 1620 with the elaborately painted ceilings still visible inside. By the 1930s the Old Town had emptied out and the house faced demolition — the National Trust for Scotland saved it just in time, reopening it after a further £1.5 million refurbishment in 2021.","","https://en.wikipedia.org/wiki/Gladstone%27s_Land","","55.94938421837031","-3.1936515159726064","","8-1.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The Hub","building","348-350 Castlehill, Edinburgh EH1 2NG","","","","Glance up at the corner of Castlehill and Johnston Terrace and you'll find Edinburgh's tallest spire, 71.7 metres of dark neo-Gothic stone piercing the skyline above you. Queen Victoria laid the foundation stone here in 1842 for Victoria Hall, a joint design by Scottish architect James Gillespie Graham and English Gothic Revival master Augustus Pugin, built to give the Church of Scotland's General Assembly a proper meeting place. It became Highland Tolbooth St John's Church in 1929, holding Gaelic and English services until closing in 1979 and standing empty for over a decade. A five-year, £7.5 million restoration — one of the most complex conservation projects ever undertaken in Scotland — reopened it in 1999 as The Hub, home of the Edinburgh International Festival.","","https://en.wikipedia.org/wiki/The_Hub,_Edinburgh","","55.9487828","-3.1951693","","8-2.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Camera Obscura & World of Illusions","museum","549 Castlehill, Edinburgh EH1 2ND","","","","Inside, the top floor still does exactly what it did in 1853: a rotating mirror throws a live, moving image of the city outside onto a table in front of you — one of the oldest working camera obscuras in Britain. Getting here took a scandal: Maria Theresa Short arrived in Edinburgh in 1827 claiming to be the daughter of instrument-maker Thomas Short, who had died nearly 40 years before, a claim never proven but enough to win her his prized telescope. She opened an observatory on Calton Hill in 1835, was forced out by the council in 1849, and reopened here on Castlehill in 1853 as Short's Observatory. After her death, the pioneering planner Patrick Geddes took over in 1892, renaming it the Outlook Tower and stacking its floors with views of the world, Europe, Scotland and Edinburgh in ascending order beneath the camera obscura at the top.","","https://en.wikipedia.org/wiki/Camera_Obscura,_Edinburgh","","55.9489544","-3.1956707","","8-3.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The Witchery by the Castle","history","352 Castlehill, Edinburgh EH1 2NF","","","","Push through the door at Boswell's Court and candlelight closes around you — Gothic stone and low ceilings inside a merchant's townhouse raised in 1595 for Thomas Lowthian, later nicknamed for the eccentric physician Dr John Boswell, whose relatives James Boswell and Samuel Johnson once dined here. By the 1970s it had decayed into disused Church of Scotland committee rooms, until 20-year-old chef James Thomson bought it in 1979, becoming Scotland's youngest licensee at a time nobody rated the Royal Mile as restaurant territory. He expanded into the candlelit Secret Garden dining room in 1989, then into nine Gothic hotel suites, one entered through a hidden bookcase door. The name honours the hundreds burned as witches just up the street on Castlehill — locals still swear the building itself is haunted by one of them.","","https://en.wikipedia.org/wiki/The_Witchery_by_the_Castle","","55.9487766","-3.1956431","","8-4.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The Scotch Whisky Experience","museum","354 Castlehill, Edinburgh EH1 2NE","","","","You're standing in a former Victorian school building right beside the Castle esplanade. For over three decades visitors rode through 300 years of whisky history inside mock oak barrels, past theatrical sets built by the team behind York's Jorvik Viking Centre, before a 2023 renovation retired the ride for three new galleries: Origins, The Art of Whisky Making and Maturation. The place exists because in 1988 whisky executive Alastair McIntosh persuaded nineteen Scotch companies to put up £2 million so visitors who couldn't reach the Highlands could still learn the spirit's history. Since 2009 it's also housed one man's obsession: 3,384 bottles gathered over 35 years by Brazilian collector Claive Vidiz, now a Guinness World Record holder for the largest Scotch whisky collection on Earth, its oldest bottle dating to 1897.","","https://en.wikipedia.org/wiki/The_Scotch_Whisky_Experience","","55.9487452","-3.1958982","","8-5.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Tartan Weaving Mill","building","555 Castlehill, Edinburgh EH1 2ND","","","","A viewing window over the basement workshop lets you watch a working heritage loom weave tartan cloth in real time — a rare working link to what this building actually was: Castlehill Reservoir, built in 1849-50 to supply the New Town with water. The huge cistern could hold two million gallons and empty it at 5,000 gallons a minute; workmen digging its foundations in 1851 turned up two oak log-coffins and a Roman coin of the Emperor Constantine, relics of the earlier Christ Church chapel demolished on this same spot to help build the Tron Kirk. Drained in 1992, it opened briefly for public tours the following year before being converted between 1995 and 1997 into what's now the Tartan Weaving Mill.","","https://en.wikipedia.org/wiki/Tartan_Weaving_Mill","","55.9490320","-3.1961795","","8-6.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Cannonball House","building","356 Castlehill, Edinburgh EH1 2NF","","","","The west-facing wall here still holds an iron cannonball still lodged in the stone — legend says it was fired from the Castle's Half Moon Battery at Bonnie Prince Charlie during the 1745 Jacobite rising. It's a better story than the truth: engineers most likely fixed it there around 1675 to mark the exact height gravity-fed water from springs at Comiston needed to reach before it could flow this far up the hill, Edinburgh's first piped water supply. The Category A listed house itself was built in 1630 for furrier Alexander Mure and his wife Margaret Niellems, their initials still carved above the door as 'AM MN 1630'. It later became a Castlehill School annexe in 1913, then an urban studies centre, before the Contini family turned it into a restaurant in 2014.","","https://en.wikipedia.org/wiki/Cannonball_House_(Edinburgh)","","55.9486687","-3.1961988","","8-7.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Ramsay Garden","architectural_point","Ramsay Garden, Edinburgh","","","","From below, Ramsay Garden's towers and white-harled walls seem to grow straight out of the castle rock — one of the most photographed skylines in Edinburgh, and one you can only admire from the street, since it's still private housing. It began in 1733 as an octagonal house built by the poet and wig-maker Allan Ramsay the Elder, its odd shape earning it the nickname 'the goose-pie house'. In 1890 the planner and biologist Patrick Geddes bought the site and rebuilt it as a deliberately mixed community of students, artisans and professionals, part of his campaign to drag Edinburgh's decaying Old Town back to life. Architect Stewart Henbest Capper designed the sixteen-apartment complex; Sydney Mitchell finished it after Capper's health failed. Geddes himself called the result 'the seven-towered castle I built for my beloved'.","","https://en.wikipedia.org/wiki/Ramsay_Garden","","55.9493345","-3.1963215","","8-8.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Castle Esplanade","history","Castlehill, Edinburgh EH1 2NG","","","","This broad, flat expanse opens out to views north to the Firth of Forth and south to the Pentland Hills — free to take in without a Castle ticket. It was built in 1753 as a military parade ground, using spoil dug from the foundations of the Royal Exchange down on the High Street, then widened and given its present north wall and railings in 1816. Every August since 1950 it's been transformed into the site of the Royal Edinburgh Military Tattoo — the first show had just eight items and drew 6,000 spectators to a single performance, compared with the roughly 10,000-seat temporary stadium built and dismantled here each summer today.","","https://en.wikipedia.org/wiki/Edinburgh_Castle","","55.9487000","-3.1975000","","8-9.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Edinburgh Castle","building","Castlehill, Edinburgh EH1 2NG","","","","You're standing on the plug of an extinct volcano — Castle Rock has made this one of the most defensible sites in Scotland since at least the Iron Age, when a hillfort stood here some 3,000 years ago. It became a royal residence under King Malcolm III in the 11th century and was besieged more often than almost any fortress in Britain, including a night in 1314 when Thomas Randolph, Earl of Moray, led a party scaling the crag in darkness to recapture it from English hands. Today it holds the Honours of Scotland — the crown jewels — and the Stone of Destiny, used for centuries in Scottish coronations, though persistent rumour holds that the monks of Scone hid the real stone from Edward I and that what sits here is a substitute.","","https://en.wikipedia.org/wiki/Edinburgh_Castle","","55.9485947","-3.1999135","","8-10.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The Witches' Well","monument","Castlehill, Edinburgh EH1 2NG","","","","Set into the wall at the foot of the esplanade, this small bronze relief marks Edinburgh's principal witch-burning ground, where an estimated 300 people were put to death on this spot alone. Patrick Geddes commissioned it in 1894 from his friend John Duncan, a leading figure of the Scottish Celtic Revival, fixing it to the wall of what was then the newly built Castlehill Reservoir. Look closely at the relief: a serene face and a wicked one, both entwined by a serpent coiled around Hygieia, Greek goddess of health, and her father Asclepius, god of medicine, with a sprig of foxglove worked in beside them — a heart medicine and a poison in one plant, a reminder that the same knowledge could heal or condemn whoever held it.","","https://en.wikipedia.org/wiki/Witches%27_Well,_Edinburgh","","55.948956393753534","-3.1964811374267144","","8-11.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The India Cross","monument","Castlehill, Edinburgh EH1 2NG","","","","Trace the carving on this dark Celtic cross and among the entwined cable-work you'll find a stag's head and an elephant — the badge of the 78th Highlanders, raised here in 1862 to the 256 men of the regiment who died relieving the besieged garrison at Lucknow during the Indian Rebellion of 1857-58. Indian soldiers had risen against British rule that June; when the 78th fought through the rebel lines to reach the city that September, the whole regiment was voted the Victoria Cross by ballot, a mechanism reserved for acts of collective gallantry too widespread to credit to one man. The relieving commander, General Henry Havelock, is said to have declared he'd 'never seen better conduct — I am not a Highlander, but I wish I was one.'","","https://www.iwm.org.uk/memorials/item/memorial/53581","","55.949010835333816","-3.196987476089976","","8-12.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","Scottish Horse Memorial","monument","Castlehill, Edinburgh EH1 2NG","","","","This granite Celtic cross, carved with a claymore and a bronze lion rampant, was raised in 1904-05 to the Scottish Horse, a yeomanry regiment recruited from Scotland, Australia and South Africa in 1900 to fight Britain's brutal guerrilla campaign against Boer commandos in the Second Boer War. Look closely at the names and you'll find something unusual for a monument of this era: Zulu scouts who served and died alongside the regiment are named here too, a rare instance of Black South African soldiers being formally commemorated on a colonial-era war memorial. An identical cross stands on Caledonia Hill in Johannesburg, where it became the official war memorial of the Transvaal Scottish regiment. The Scottish Horse itself was disbanded at Edinburgh Castle in 1902; its lineage carries on today in the Scottish and North Irish Yeomanry.","","https://en.wikipedia.org/wiki/Scottish_Horse_War_Memorial","","55.94900566572138","-3.197607888348792","","8-13.jpg","","","","","","","","",""
"Deacon Brodies Tavern -> Edinburgh Castle","8","The Afghan Needle","monument","Castlehill, Edinburgh EH1 2NG","","","","This pink Peterhead granite needle behind iron railings catches the wind coming straight off the esplanade, standing 3.5 metres tall and listed Grade II* by Historic Environment Scotland. Raised by public subscription in 1882-83, it commemorates the 105 officers, non-commissioned officers and men of the 72nd Duke of Albany's Own Highlanders who were killed in action or died of wounds and disease during the First and Second Anglo-Afghan Wars of 1839-42 and 1878-80. Read down its base and every name is grouped by how the man died — a stark ledger of two of the 19th century's bloodiest colonial campaigns, designed by the Aberdeen firm MacDonald, Field & Company. Locals simply call it the Afghan Needle.","","https://memorials.iwm.org.uk/item/memorial/53582","","55.948925018465516","-3.1980561470370232","","8-14.jpg","","","","","","","","",""
